date,BANDHAN ,Edelweiss ,Taurus ,HDFC ,DSP ,Union ,BANK OF INDIA ,Aditya Birla Sun Life ,SBI LONG TERM EQUITY FUND ,LIC MF ,Invesco India ,JM ,Axis ,ICICI Prudential ,UTI ,quant ,Tata ,Motilal Oswal ,PGIM India ,Navi ,Mirae Asset ,Mahindra Manulife ,Groww ,Parag Parikh ,ITI ,Sundaram ,BARODA BNP PARIBAS ,Samco ,HSBC ,HSBC ,Zerodha 
2013-01-22,22.7442,,39.28,249.965,19.206,13.31,23.26,11.89,67.8,30.6013,20.07,6.914,14.7072,161.63,42.5994,38.1032,,,,,,,,,,,,,,,
2013-01-23,22.598,,39.18,249.029,19.165,13.31,23.27,11.87,67.69,30.6263,20.08,6.896,14.6961,160.81,42.5463,37.8838,,,,,,,,,,,,,,,
2013-01-24,22.3089,21.62,38.61,245.51,18.892,13.26,23.1,11.74,67.0,30.4468,19.95,6.8152,14.6124,159.51,42.2337,36.9747,,,,,,,,,,,,,,,
2013-01-25,22.5832,21.9,39.24,248.082,19.089,13.38,23.29,11.86,67.75,,20.13,6.8986,14.7695,160.85,42.5392,37.2454,,,,,,,,,,,,,,,
2013-01-28,22.6189,21.89,39.31,248.085,19.079,13.39,23.35,11.87,67.7,30.7667,20.1,6.9058,14.7769,160.69,42.5087,37.1825,,,,,,,,,,,,,,,
2013-01-29,22.5824,21.83,39.08,246.872,18.978,13.35,23.25,11.79,67.25,30.6311,20.03,6.9139,14.7946,160.18,42.3298,36.9531,,,,,,,,,,,,,,,
2013-01-30,22.6279,21.83,39.04,245.918,18.979,13.36,23.22,11.8,67.25,30.6061,20.05,6.8948,14.7706,160.02,42.4594,36.8548,,,,,,,,,,,,,,,
2013-01-31,22.6848,21.87,39.1,246.464,19.013,13.34,23.11,11.8,66.98,30.5204,20.04,6.8792,14.7326,159.63,42.4529,36.745,,,,,,,,,,,,,,,
2013-02-01,22.602,21.8,38.95,245.578,18.973,13.3,23.02,11.77,66.71,30.3121,19.98,6.8434,14.6961,159.06,42.2862,36.7518,,,,,,,,,,,,,,,
2013-02-04,22.5079,21.69,38.69,244.116,18.854,13.24,22.97,11.72,66.39,30.2066,19.87,6.8375,14.7065,158.1,42.1588,36.3258,,,,,,,,,,,,,,,
2013-02-05,22.3362,21.58,38.46,242.639,18.743,13.18,22.84,11.68,66.07,30.0608,19.74,6.7946,14.6435,157.09,42.0658,36.1958,,,,,,,,,,,,,,,
2013-02-06,22.3878,21.58,38.59,242.611,18.746,13.15,22.89,11.7,66.05,30.0809,19.78,6.7683,14.7026,157.15,42.0715,36.1823,,,,,,,,,,,,,,,
2013-02-07,22.1906,21.5,38.28,240.645,18.654,13.09,22.82,11.66,65.81,29.9828,19.7,6.7722,14.6822,156.51,41.8851,35.3535,,,,,,,,,,,,,,,
2013-02-08,22.0518,21.37,38.01,239.062,18.516,13.02,22.67,11.62,65.43,29.8159,19.64,6.7296,14.6145,155.58,41.6363,35.0072,,,,,,,,,,,,,,,
2013-02-11,22.1451,20.28,37.4,238.958,18.511,12.99,22.67,11.61,65.26,29.8058,19.55,6.6938,14.5489,155.35,41.6194,35.5887,,,,,,,,,,,,,,,
